comuna,ica,fecha,id
comuna 10,73,2024-06-25,926
comuna 16,53,2024-07-31,46063
comuna 8,83,2024-06-23,22106
comuna 7,33,2024-01-30,22644
comuna 14,87,2024-06-23,14909
comuna 10,60,2024-07-31,44510
comuna 2,27,2024-07-31,7700
comuna 14,37,2024-07-31,42520
comuna 6,71,2024-06-25,41256
comuna 4,13,2024-06-25,31836
comuna 15,68,2024-07-31,20769
comuna 16,40,2024-01-30,26048
comuna 7,28,2024-01-30,24517
comuna 4,97,2024-06-25,41072
comuna 4,74,2024-06-23,43899
comuna 5,14,2024-01-30,33880
comuna 5,80,2024-06-23,39482
comuna 14,60,2024-01-30,41287
comuna 4,66,2024-06-25,18825
comuna 10,84,2024-06-23,16032
comuna 11,62,2024-01-30,22242
comuna 3,86,2024-06-23,24525
comuna 16,53,2024-07-31,29988
comuna 2,76,2024-06-23,359
comuna 3,72,2024-06-25,14051
comuna 8,14,2024-07-31,36189
comuna 2,39,2024-07-31,29591
comuna 4,61,2024-06-25,4846
comuna 9,63,2024-06-23,45379
comuna 5,29,2024-01-30,31564
comuna 10,25,2024-01-30,42905
comuna 13,10,2024-01-30,19287
comuna 7,68,2024-07-31,40355
comuna 11,74,2024-07-31,24831
comuna 3,91,2024-06-25,2838
comuna 3,91,2024-01-30,38428
comuna 6,26,2024-07-31,45982
comuna 1,11,2024-06-25,33823
comuna 8,16,2024-06-23,45459
comuna 16,19,2024-06-23,3214
comuna 7,12,2024-07-31,48069
comuna 6,36,2024-06-23,12688
comuna 13,57,2024-01-30,8098
comuna 2,45,2024-07-31,5620
comuna 9,59,2024-06-23,22224
comuna 6,75,2024-06-25,7807
comuna 5,29,2024-07-31,42829
comuna 3,58,2024-06-25,2222
comuna 3,61,2024-06-25,37170
comuna 14,72,2024-06-25,26953
comuna 16,73,2024-06-23,48394
comuna 3,63,2024-01-30,18989
comuna 4,15,2024-01-30,11735
comuna 3,10,2024-06-23,42751
comuna 3,87,2024-06-23,16743
comuna 5,41,2024-01-30,4229
comuna 1,15,2024-01-30,17570
comuna 8,99,2024-07-31,5165
comuna 6,83,2024-07-31,37971
comuna 11,17,2024-07-31,13803
comuna 8,62,2024-01-30,5803
comuna 10,43,2024-06-25,25206
comuna 9,24,2024-06-23,13407
comuna 16,62,2024-07-31,20879
comuna 1,21,2024-06-23,39855
comuna 2,74,2024-01-30,42422
comuna 1,57,2024-07-31,14190
comuna 13,34,2024-07-31,37942
comuna 5,62,2024-06-23,35072
comuna 4,47,2024-06-25,48735
comuna 15,30,2024-07-31,43689
comuna 8,11,2024-07-31,31339
comuna 7,42,2024-07-31,6879
comuna 15,98,2024-06-25,48511
comuna 4,73,2024-06-25,41140
comuna 16,16,2024-06-23,18877
comuna 16,69,2024-01-30,26673
comuna 1,24,2024-07-31,3971
comuna 1,69,2024-07-31,40970
comuna 1,48,2024-07-31,37873
comuna 14,85,2024-06-23,39436
comuna 11,32,2024-06-23,6892
comuna 10,49,2024-07-31,32709
comuna 16,20,2024-07-31,21359
comuna 2,24,2024-01-30,2567
comuna 8,89,2024-06-23,18925
comuna 12,35,2024-01-30,45967
comuna 13,59,2024-07-31,24598
comuna 6,35,2024-01-30,3417
comuna 7,92,2024-01-30,39187
comuna 7,56,2024-01-30,49327
comuna 14,83,2024-06-25,4692
comuna 12,86,2024-06-23,23345
comuna 3,71,2024-07-31,11543
comuna 13,37,2024-07-31,41438
comuna 9,66,2024-07-31,45610
comuna 4,91,2024-01-30,30616
comuna 14,100,2024-06-23,44585
comuna 10,30,2024-06-25,46694
comuna 12,66,2024-01-30,2297
comuna 13,59,2024-07-31,17348
comuna 12,13,2024-01-30,49412
comuna 9,13,2024-06-25,40396
comuna 14,18,2024-06-23,24336
comuna 4,53,2024-01-30,34135
comuna 13,37,2024-07-31,20909
comuna 7,74,2024-06-23,39979
comuna 10,58,2024-01-30,7839
comuna 1,53,2024-06-25,12442
comuna 9,28,2024-07-31,46773
comuna 8,38,2024-06-25,46471
comuna 3,66,2024-01-30,12468
comuna 3,25,2024-06-23,29838
comuna 2,43,2024-06-25,29787
comuna 11,18,2024-07-31,42204
comuna 8,80,2024-07-31,4640
comuna 14,75,2024-06-25,45147
comuna 3,35,2024-06-23,3157
comuna 12,20,2024-06-23,12716
comuna 6,48,2024-06-25,49141
comuna 9,57,2024-01-30,34942
comuna 12,89,2024-01-30,22954
comuna 14,49,2024-01-30,41171
comuna 5,41,2024-06-23,40235
comuna 4,91,2024-06-23,33280
comuna 5,80,2024-07-31,8459
comuna 15,74,2024-07-31,30957
comuna 5,88,2024-06-23,37105
comuna 15,19,2024-06-23,684
comuna 7,57,2024-07-31,19101
comuna 15,12,2024-01-30,14297
comuna 3,28,2024-06-23,3901
comuna 12,35,2024-01-30,9217
comuna 12,58,2024-01-30,36465
comuna 2,10,2024-06-25,37132
comuna 2,41,2024-07-31,29930
comuna 7,14,2024-06-23,40307
comuna 13,24,2024-07-31,13275
comuna 7,73,2024-01-30,37594
comuna 12,36,2024-06-25,3014
comuna 3,50,2024-06-25,13447
comuna 4,83,2024-06-23,37992
comuna 5,47,2024-06-23,10810
comuna 11,43,2024-06-23,38870
comuna 10,67,2024-06-23,36367
comuna 2,70,2024-06-23,8843
comuna 1,88,2024-07-31,29390
comuna 11,21,2024-06-23,8536
comuna 16,73,2024-01-30,25426
comuna 4,51,2024-01-30,18884
comuna 2,27,2024-06-23,40285
comuna 9,88,2024-01-30,47738
comuna 14,76,2024-06-23,40839
comuna 15,75,2024-01-30,7672
comuna 14,82,2024-01-30,36802
comuna 16,67,2024-06-25,23
comuna 6,36,2024-07-31,39536
comuna 5,64,2024-06-25,41552
comuna 5,96,2024-06-23,27113
comuna 9,29,2024-07-31,18564
comuna 14,19,2024-06-23,46732
comuna 8,46,2024-01-30,35827
comuna 7,15,2024-06-23,6243
comuna 8,81,2024-01-30,31154
comuna 15,35,2024-01-30,45273
comuna 4,20,2024-01-30,12095
comuna 7,73,2024-06-25,31102
comuna 15,12,2024-06-23,31289
comuna 15,47,2024-07-31,43214
comuna 5,87,2024-06-23,914
comuna 12,21,2024-01-30,38532
comuna 8,75,2024-07-31,4668
comuna 7,50,2024-01-30,45187
comuna 9,100,2024-06-23,44929
comuna 4,13,2024-06-23,8174
comuna 2,38,2024-06-25,18525
comuna 5,17,2024-07-31,2803
comuna 10,28,2024-07-31,24074
comuna 10,97,2024-01-30,9899
comuna 16,91,2024-07-31,27544
comuna 10,46,2024-07-31,40519
comuna 4,58,2024-06-25,36007
comuna 3,65,2024-01-30,23576
comuna 10,86,2024-06-25,27688
comuna 10,99,2024-06-25,48390
comuna 13,41,2024-06-25,49594
comuna 15,24,2024-07-31,18527
comuna 7,52,2024-06-25,35351
comuna 2,57,2024-07-31,30925
comuna 9,49,2024-01-30,593
comuna 6,58,2024-06-25,27534
comuna 3,64,2024-07-31,42252
comuna 16,39,2024-06-23,5143
comuna 11,11,2024-01-30,11674
comuna 16,77,2024-06-25,21187
comuna 7,61,2024-07-31,31689
comuna 13,63,2024-06-23,28300
comuna 15,48,2024-07-31,11968
comuna 1,82,2024-06-23,41574
comuna 6,95,2024-06-25,21238
comuna 1,79,2024-07-31,22094
comuna 9,69,2024-07-31,46373
comuna 8,23,2024-06-23,39297
comuna 6,11,2024-06-23,35266
comuna 16,39,2024-07-31,10037
comuna 6,36,2024-06-25,17578
comuna 16,23,2024-06-25,45072
comuna 4,13,2024-01-30,23270
comuna 14,21,2024-07-31,44758
comuna 7,56,2024-07-31,43113
comuna 12,83,2024-01-30,4686
comuna 5,28,2024-07-31,19118
comuna 2,77,2024-06-25,18840
comuna 13,76,2024-01-30,33512
comuna 13,42,2024-01-30,194
comuna 6,83,2024-07-31,21551
comuna 16,53,2024-07-31,21703
comuna 9,79,2024-06-25,5081
comuna 1,15,2024-01-30,30339
comuna 13,53,2024-01-30,25290
comuna 15,28,2024-01-30,21294
comuna 11,80,2024-06-23,49254
comuna 5,96,2024-01-30,27871
comuna 3,61,2024-06-23,34857
comuna 1,39,2024-06-23,43339
comuna 12,53,2024-06-25,15066
comuna 6,62,2024-01-30,29935
comuna 2,88,2024-01-30,19869
comuna 3,40,2024-07-31,3170
comuna 15,66,2024-07-31,4568
comuna 13,95,2024-06-23,37493
comuna 14,85,2024-07-31,2338
comuna 13,65,2024-07-31,38527
comuna 8,49,2024-06-25,42703
comuna 5,98,2024-06-23,30733
comuna 13,56,2024-06-25,37587
comuna 10,80,2024-06-23,49300
comuna 14,51,2024-07-31,45464
comuna 15,32,2024-01-30,40681
comuna 11,91,2024-06-25,32291
comuna 13,69,2024-07-31,46833
comuna 15,75,2024-07-31,44776
comuna 10,81,2024-07-31,37141
comuna 16,41,2024-06-25,3051
comuna 11,42,2024-06-25,29171
comuna 16,31,2024-06-25,46708
comuna 13,84,2024-06-25,20086
comuna 2,96,2024-01-30,1107
comuna 16,17,2024-06-23,25822
comuna 1,69,2024-01-30,39770
comuna 7,90,2024-06-25,14230
comuna 10,78,2024-01-30,16033
comuna 1,51,2024-06-23,30515
comuna 4,40,2024-06-25,28923
comuna 13,34,2024-06-23,19612
comuna 6,20,2024-06-23,22743
comuna 12,18,2024-06-23,34315
comuna 15,31,2024-07-31,25250
comuna 8,13,2024-01-30,8828
comuna 11,24,2024-01-30,29120
comuna 15,19,2024-07-31,34269
comuna 1,50,2024-01-30,31201
comuna 3,80,2024-07-31,14376
comuna 14,68,2024-01-30,46596
comuna 2,87,2024-07-31,115
comuna 15,22,2024-01-30,11236
comuna 5,90,2024-06-23,22683
comuna 2,93,2024-01-30,22966
comuna 11,61,2024-01-30,36279
comuna 11,52,2024-06-23,49787
comuna 16,47,2024-01-30,4775
comuna 15,77,2024-07-31,26107
comuna 1,26,2024-06-25,37939
comuna 3,65,2024-06-23,3673
comuna 4,55,2024-01-30,2470
comuna 13,62,2024-07-31,4587
comuna 6,42,2024-06-23,31549
comuna 7,27,2024-01-30,37621
comuna 6,27,2024-01-30,12816
comuna 5,28,2024-06-25,48297
comuna 13,43,2024-01-30,49468
comuna 12,92,2024-06-25,10989
comuna 10,10,2024-06-25,7469
comuna 10,25,2024-06-23,26928
comuna 11,88,2024-07-31,41643
comuna 4,80,2024-06-23,20154
comuna 1,90,2024-06-25,38965
comuna 8,62,2024-01-30,34631
comuna 12,77,2024-07-31,22726
comuna 4,66,2024-06-23,14852
comuna 13,42,2024-06-23,6192
comuna 1,64,2024-06-23,36772
comuna 14,82,2024-01-30,21499
comuna 2,94,2024-07-31,32821
comuna 2,96,2024-01-30,13627
comuna 11,54,2024-07-31,32414
comuna 5,43,2024-01-30,45992
comuna 7,75,2024-06-23,12025
comuna 2,15,2024-07-31,43417
comuna 5,17,2024-01-30,23053
comuna 6,25,2024-06-25,10983
comuna 4,40,2024-06-25,6661
comuna 14,45,2024-06-25,34423
comuna 14,68,2024-07-31,21320
comuna 7,27,2024-06-25,40115
comuna 1,55,2024-07-31,42698
comuna 3,35,2024-06-25,13985
comuna 2,30,2024-07-31,31567
comuna 5,78,2024-06-25,44721
comuna 13,93,2024-07-31,4722
comuna 3,11,2024-01-30,2729
comuna 12,79,2024-06-23,2168
comuna 13,36,2024-06-25,5942
comuna 9,11,2024-06-23,29207
comuna 4,46,2024-06-25,7438
comuna 6,63,2024-07-31,49994
comuna 16,81,2024-06-25,12085
comuna 3,70,2024-06-25,42642
comuna 15,49,2024-06-23,13528
comuna 7,85,2024-01-30,18405
comuna 12,33,2024-07-31,1626
comuna 16,75,2024-06-25,9949
comuna 15,15,2024-06-23,30087
comuna 2,60,2024-01-30,44360
comuna 12,46,2024-06-23,41442
comuna 7,99,2024-07-31,905
comuna 2,37,2024-07-31,46314
comuna 7,59,2024-01-30,30891
comuna 9,77,2024-06-23,47704
comuna 12,30,2024-06-23,34196
comuna 1,65,2024-07-31,37295
comuna 11,70,2024-07-31,38499
comuna 7,55,2024-07-31,23475
comuna 2,68,2024-07-31,31979
comuna 16,59,2024-07-31,29232
comuna 15,71,2024-01-30,38856
comuna 16,97,2024-06-23,48230
comuna 2,52,2024-06-25,8783
comuna 9,18,2024-06-23,41128
comuna 7,13,2024-06-23,20765
comuna 2,100,2024-06-25,30396
comuna 7,41,2024-06-25,37969
comuna 10,24,2024-01-30,33797
comuna 14,47,2024-06-25,38717
comuna 8,64,2024-01-30,6707
comuna 7,29,2024-07-31,15567
comuna 3,28,2024-06-23,44786
comuna 13,36,2024-07-31,43888
comuna 1,44,2024-07-31,20987
comuna 16,58,2024-06-25,31833
comuna 9,25,2024-06-23,18647
comuna 10,39,2024-06-23,40216
comuna 7,67,2024-01-30,28047
comuna 13,66,2024-01-30,36754
comuna 5,14,2024-01-30,11904
comuna 12,77,2024-06-25,44373
comuna 2,58,2024-06-23,29041
comuna 16,29,2024-01-30,3643
comuna 15,35,2024-06-25,49498
comuna 16,32,2024-01-30,38470
comuna 3,38,2024-01-30,47109
comuna 14,69,2024-06-25,44200
comuna 13,100,2024-07-31,31103
comuna 4,84,2024-01-30,29746
comuna 12,61,2024-07-31,43047
comuna 11,87,2024-06-25,2638
comuna 3,31,2024-06-25,14797
comuna 3,27,2024-07-31,13346
comuna 12,64,2024-01-30,35378
comuna 1,28,2024-06-23,31404
comuna 6,64,2024-07-31,6677
comuna 9,67,2024-06-23,21931
comuna 12,64,2024-06-25,30266
comuna 13,22,2024-06-23,33417
comuna 14,57,2024-06-25,17372
comuna 3,89,2024-07-31,9826
comuna 8,13,2024-07-31,182
comuna 15,47,2024-07-31,43019
comuna 6,28,2024-01-30,35729
comuna 8,34,2024-06-23,40932
comuna 2,18,2024-01-30,19497
comuna 12,59,2024-01-30,47066
comuna 2,35,2024-06-23,27983
comuna 15,98,2024-06-23,33997
comuna 10,39,2024-06-23,8424
comuna 10,60,2024-07-31,43851
comuna 8,57,2024-06-23,39818
comuna 3,94,2024-06-23,45158
comuna 7,50,2024-06-25,35756
comuna 11,27,2024-06-25,31203
comuna 10,33,2024-06-25,5161
comuna 3,47,2024-01-30,14317
comuna 1,54,2024-06-25,20976
comuna 14,93,2024-01-30,34440
comuna 13,56,2024-07-31,2284
comuna 3,73,2024-07-31,10157
comuna 14,77,2024-06-25,6502
comuna 14,47,2024-07-31,13702
comuna 7,56,2024-07-31,17507
comuna 13,46,2024-07-31,29122
comuna 5,41,2024-06-23,23088
comuna 12,15,2024-07-31,39786
comuna 3,62,2024-06-23,46938
comuna 5,43,2024-06-23,1304
comuna 5,29,2024-06-23,12704
comuna 14,22,2024-06-23,45383
comuna 10,98,2024-01-30,43375
comuna 7,13,2024-01-30,35139
comuna 16,57,2024-01-30,27829
comuna 11,54,2024-07-31,2934
comuna 11,76,2024-06-25,24157
comuna 11,34,2024-07-31,22045
comuna 10,92,2024-06-25,40129
comuna 11,79,2024-06-23,31295
comuna 1,39,2024-01-30,31345
comuna 7,76,2024-06-23,34869
comuna 4,66,2024-06-23,12075
comuna 14,61,2024-07-31,15743
comuna 13,80,2024-06-25,21492
comuna 4,38,2024-01-30,36077
comuna 7,40,2024-01-30,39138
comuna 2,30,2024-07-31,30018
comuna 12,66,2024-06-23,17579
comuna 1,19,2024-07-31,42994
comuna 10,69,2024-01-30,23697
comuna 16,91,2024-06-25,7809
comuna 5,47,2024-06-23,25068
comuna 8,68,2024-06-25,11369
comuna 1,32,2024-01-30,31819
comuna 11,99,2024-06-25,12239
comuna 1,63,2024-06-23,12061
comuna 9,47,2024-06-23,23034
comuna 13,91,2024-06-25,26145
comuna 3,38,2024-01-30,4974
comuna 12,65,2024-01-30,571
comuna 1,77,2024-06-25,46093
comuna 5,52,2024-06-25,39595
comuna 2,43,2024-07-31,49493
comuna 4,41,2024-01-30,10667
comuna 7,51,2024-07-31,44696
comuna 11,18,2024-06-23,37865
comuna 14,47,2024-07-31,21024
comuna 15,10,2024-06-23,28696
comuna 3,51,2024-06-25,42645
comuna 10,25,2024-06-23,31299
comuna 6,95,2024-01-30,32903
comuna 14,57,2024-06-23,15785
comuna 14,44,2024-06-23,29547
comuna 16,66,2024-07-31,36978
comuna 9,25,2024-06-23,37119
comuna 12,95,2024-06-23,4823
comuna 1,38,2024-06-25,32666
comuna 7,18,2024-07-31,18519
comuna 11,18,2024-01-30,23273
comuna 15,89,2024-06-25,12540
comuna 9,68,2024-07-31,12906
comuna 7,81,2024-06-23,48158
comuna 7,24,2024-07-31,12981
comuna 3,83,2024-06-25,20227
comuna 12,64,2024-06-25,38323
comuna 13,53,2024-01-30,35750
comuna 5,74,2024-01-30,39170
comuna 2,92,2024-07-31,14900
comuna 12,36,2024-01-30,4673
comuna 11,85,2024-06-23,23360
comuna 2,16,2024-01-30,1364
comuna 7,24,2024-06-25,47404
comuna 3,97,2024-06-25,32408
comuna 3,21,2024-06-23,38053
comuna 1,63,2024-06-23,13547
comuna 6,23,2024-07-31,41920
comuna 16,64,2024-01-30,38124
comuna 3,60,2024-06-25,29717
comuna 8,84,2024-06-25,33597
comuna 13,51,2024-06-25,40965
comuna 1,22,2024-06-25,29572
comuna 2,43,2024-07-31,9487
comuna 5,96,2024-07-31,18929
comuna 8,42,2024-01-30,34614
comuna 10,36,2024-06-25,25398
comuna 16,92,2024-06-23,16380
comuna 10,91,2024-07-31,31011
comuna 13,67,2024-07-31,27268
comuna 4,60,2024-06-23,39641
comuna 8,96,2024-07-31,25327
comuna 11,24,2024-07-31,10100
comuna 1,76,2024-01-30,14360
comuna 7,44,2024-07-31,13976
comuna 9,42,2024-06-25,25059
comuna 1,91,2024-01-30,36624
comuna 10,63,2024-06-25,38812
comuna 6,42,2024-06-25,30331
comuna 3,98,2024-06-25,38048
comuna 2,30,2024-07-31,49424
comuna 11,35,2024-06-25,8684
comuna 15,17,2024-01-30,37447
comuna 12,90,2024-07-31,16260
comuna 14,70,2024-06-23,46898
comuna 5,66,2024-06-23,47045
comuna 3,72,2024-06-25,32980
comuna 11,76,2024-06-25,31306
comuna 5,14,2024-07-31,23175
comuna 10,94,2024-07-31,15357
comuna 7,46,2024-01-30,43899
comuna 8,37,2024-01-30,25919
comuna 7,98,2024-06-25,29139
comuna 12,61,2024-06-25,41036
comuna 16,20,2024-06-25,5676
comuna 9,60,2024-06-23,31360
comuna 1,24,2024-01-30,3820
comuna 1,98,2024-06-25,44770
comuna 7,21,2024-01-30,35283
comuna 3,82,2024-06-23,39209
comuna 7,91,2024-06-23,35375
comuna 16,86,2024-07-31,30574
comuna 14,84,2024-06-25,5912
comuna 12,92,2024-07-31,21427
comuna 3,73,2024-07-31,14062
comuna 10,38,2024-07-31,38207
comuna 16,84,2024-01-30,49196
comuna 11,48,2024-07-31,5792
comuna 14,31,2024-06-25,22825
comuna 4,86,2024-01-30,49926
comuna 4,58,2024-06-23,47345
comuna 4,62,2024-01-30,34702
comuna 3,12,2024-07-31,31172
comuna 5,20,2024-07-31,8380
comuna 15,30,2024-07-31,33657
comuna 7,55,2024-07-31,36486
comuna 2,13,2024-01-30,48194
comuna 7,29,2024-06-23,16580
comuna 10,93,2024-06-23,42899
comuna 14,12,2024-06-25,25300
comuna 16,28,2024-06-25,38077
comuna 13,85,2024-07-31,46797
comuna 9,50,2024-06-25,34875
comuna 10,66,2024-07-31,34160
comuna 9,42,2024-06-25,27352
comuna 4,34,2024-06-23,42790
comuna 16,79,2024-06-23,5753
comuna 10,68,2024-07-31,5833
comuna 8,55,2024-06-23,22488
comuna 4,73,2024-06-23,39894
comuna 2,73,2024-07-31,37647
comuna 1,17,2024-06-23,2113
comuna 4,67,2024-07-31,40286
comuna 3,49,2024-06-23,29704
comuna 5,94,2024-01-30,4966
comuna 2,69,2024-01-30,21582
comuna 9,26,2024-06-23,9844
comuna 5,86,2024-01-30,2130
comuna 3,83,2024-07-31,8271
comuna 6,61,2024-07-31,12596
comuna 7,73,2024-06-23,10500
comuna 15,27,2024-07-31,29741
comuna 2,72,2024-01-30,13997
comuna 14,37,2024-07-31,11285
comuna 4,40,2024-06-25,14611
comuna 15,52,2024-01-30,3821
comuna 3,59,2024-06-25,15786
comuna 11,23,2024-06-23,2430
comuna 1,49,2024-07-31,2747
comuna 11,53,2024-06-25,9149
comuna 9,12,2024-07-31,32825
comuna 8,94,2024-06-25,25405
comuna 3,16,2024-07-31,5287
comuna 9,71,2024-06-25,41111
comuna 9,71,2024-01-30,27186
comuna 11,21,2024-06-25,33588
comuna 15,34,2024-01-30,10565
comuna 3,32,2024-07-31,34186
comuna 16,21,2024-07-31,18322
comuna 12,80,2024-07-31,14619
comuna 7,12,2024-07-31,7841
comuna 9,34,2024-06-23,16740
comuna 12,43,2024-06-25,41469
comuna 9,14,2024-06-23,13821
comuna 8,12,2024-06-23,28322
comuna 11,65,2024-01-30,7072
comuna 12,90,2024-07-31,1117
comuna 3,62,2024-07-31,4449
comuna 8,36,2024-06-25,13351
comuna 11,38,2024-07-31,21200
comuna 12,23,2024-01-30,40158
comuna 8,16,2024-06-23,34477
comuna 10,92,2024-06-25,35978
comuna 7,29,2024-06-23,29462
comuna 1,26,2024-01-30,41578
comuna 6,27,2024-07-31,43723
comuna 11,95,2024-01-30,19068
comuna 5,54,2024-06-25,24592
comuna 15,58,2024-01-30,33459
comuna 6,34,2024-07-31,42592
comuna 9,53,2024-01-30,2106
comuna 11,90,2024-06-23,10912
comuna 15,87,2024-06-25,2779
comuna 12,26,2024-01-30,36749
comuna 2,15,2024-06-23,25425
comuna 10,92,2024-06-23,31328
comuna 15,96,2024-01-30,37200
comuna 13,54,2024-07-31,6251
comuna 6,96,2024-06-23,9295
comuna 6,43,2024-01-30,10724
comuna 16,92,2024-07-31,43975
comuna 11,57,2024-01-30,49154
comuna 4,62,2024-06-25,19966
comuna 10,85,2024-01-30,27799
comuna 13,78,2024-07-31,10865
comuna 7,40,2024-01-30,35286
comuna 5,14,2024-06-23,31807
comuna 2,25,2024-07-31,16663
comuna 11,94,2024-01-30,25512
comuna 12,91,2024-07-31,47187
comuna 4,71,2024-07-31,1008
comuna 8,21,2024-06-23,45873
comuna 15,63,2024-07-31,22282
comuna 9,19,2024-01-30,47948
comuna 7,35,2024-01-30,41642
comuna 15,49,2024-07-31,3530
comuna 8,12,2024-07-31,35908
comuna 15,46,2024-01-30,27368
comuna 8,42,2024-07-31,26787
comuna 11,54,2024-01-30,37863
comuna 16,72,2024-06-23,39662
comuna 9,58,2024-01-30,48965
comuna 3,38,2024-01-30,43825
comuna 5,93,2024-01-30,42234
comuna 15,63,2024-06-23,7773
comuna 11,53,2024-06-23,35690
comuna 14,88,2024-07-31,15943
comuna 11,84,2024-06-23,19149
comuna 1,52,2024-06-23,3232
comuna 3,92,2024-06-23,13927
comuna 10,96,2024-06-25,10890
comuna 2,24,2024-06-23,49382
comuna 6,81,2024-07-31,2492
comuna 8,76,2024-01-30,40202
comuna 8,12,2024-01-30,17428
comuna 8,66,2024-07-31,6147
comuna 2,17,2024-07-31,15532
comuna 5,31,2024-06-23,30608
comuna 16,75,2024-06-23,44424
comuna 9,14,2024-06-23,15172
comuna 16,77,2024-06-25,40394
comuna 3,90,2024-07-31,22912
comuna 1,81,2024-01-30,46786
comuna 4,47,2024-06-25,38506
comuna 12,74,2024-01-30,21994
comuna 6,19,2024-06-23,981
comuna 3,63,2024-06-23,43294
comuna 15,96,2024-06-23,35443
comuna 7,37,2024-01-30,41970
comuna 12,29,2024-01-30,3023
comuna 8,43,2024-07-31,35327
comuna 9,78,2024-06-25,49321
comuna 12,34,2024-07-31,741
comuna 7,23,2024-06-25,46864
comuna 1,66,2024-06-23,48161
comuna 1,40,2024-06-23,23624
comuna 16,74,2024-06-23,4584
comuna 13,73,2024-06-23,18042
comuna 10,93,2024-06-25,47132
comuna 5,54,2024-06-25,7275
comuna 2,18,2024-07-31,4361
comuna 3,98,2024-01-30,2343
comuna 1,57,2024-06-25,35419
comuna 12,18,2024-01-30,13022
comuna 8,68,2024-07-31,23042
comuna 13,55,2024-01-30,32710
comuna 14,95,2024-01-30,26667
comuna 10,48,2024-01-30,36173
comuna 8,51,2024-07-31,11554
comuna 4,34,2024-06-23,36311
comuna 5,80,2024-07-31,31512
comuna 15,78,2024-01-30,3616
comuna 1,59,2024-06-25,39124
comuna 9,41,2024-07-31,42772
comuna 4,54,2024-01-30,8166
comuna 16,44,2024-01-30,8239
comuna 9,70,2024-01-30,30592
comuna 6,57,2024-01-30,30987
comuna 11,85,2024-06-23,18846
comuna 4,82,2024-07-31,26080
comuna 2,34,2024-06-25,35486
comuna 7,64,2024-01-30,34466
comuna 9,10,2024-01-30,46299
comuna 8,60,2024-01-30,33394
comuna 10,61,2024-01-30,2884
comuna 3,96,2024-07-31,12807
comuna 12,31,2024-01-30,39742
comuna 14,44,2024-06-25,48625
comuna 1,41,2024-07-31,22420
comuna 10,77,2024-01-30,30538
comuna 5,48,2024-01-30,13598
comuna 4,89,2024-01-30,33003
comuna 7,54,2024-06-23,17968
comuna 1,66,2024-07-31,18278
comuna 11,24,2024-06-23,30247
comuna 3,54,2024-01-30,42989
comuna 14,71,2024-07-31,973
comuna 15,25,2024-07-31,17784
comuna 10,37,2024-06-23,14860
comuna 16,32,2024-07-31,48685
comuna 1,23,2024-06-25,43023
comuna 3,67,2024-06-25,38198
comuna 14,39,2024-06-25,31561
comuna 10,59,2024-07-31,34236
comuna 16,48,2024-06-25,44762
comuna 16,24,2024-07-31,21822
comuna 9,12,2024-06-25,20119
